language,task,technique,ratio,seed,spearman,pearson,n_selected
ca,all_words_from_category_2_distractors,difficulty_stratified,0.01,42,0.9815159710876271,0.9904289227542034,30
ca,first_word,difficulty_stratified,0.01,42,0.9733643773111291,0.9897296151712011,30
ca,first_letter,difficulty_mid,0.01,42,0.9724919247080759,0.9445795527416003,30
ca,smaller_number,difficulty_stratified,0.01,42,0.971466572832306,0.9855013844734419,30
ca,bigger_number,difficulty_stratified,0.01,42,0.9714415536284813,0.9839165284776779,30
ca,any_words_from_category_3_distractors,difficulty_stratified,0.01,42,0.9705529247033347,0.978368718267664,30
ca,ends_with_word,difficulty_easy,0.01,42,0.9703262985084283,0.9213840924316714,29
ca,any_words_from_category_5_distractors,difficulty_mid,0.01,42,0.9696494713544292,0.9391249610484587,30
ca,less_letters_length_diff_3plus,difficulty_stratified,0.01,42,0.9687464028508987,0.9744665137999728,30
ca,rhyming_word_orthographically_similar,difficulty_stratified,0.01,42,0.9680744255463657,0.9701574607052446,30
ca,word_after,difficulty_stratified,0.01,42,0.9662866807069581,0.9769737182101476,30
ca,last_letter,difficulty_stratified,0.01,42,0.9656518584122507,0.9832449089120523,30
ca,all_words_from_category_1_distractors,difficulty_mid,0.01,42,0.9639442177778186,0.9651493883039732,30
ca,first_alphabetically,difficulty_stratified,0.01,42,0.961287609483576,0.9643073835915154,30
ca,word_before,difficulty_mid,0.01,42,0.9599862253100789,0.9265544133434632,30
ca,sentence_not_containing,difficulty_stratified,0.01,42,0.9588610805944908,0.9673174543133909,30
ca,any_words_from_category_4_distractors,difficulty_stratified,0.01,42,0.9583894022704341,0.9816302477160711,30
ca,first_alphabetically_far_first_letter,difficulty_easy,0.01,42,0.958175732164366,0.9382145232753345,30
ca,last_word,difficulty_stratified,0.01,42,0.9564564572675902,0.975354989977687,30
ca,all_words_from_category_0_distractors,difficulty_stratified,0.01,42,0.9561373563289699,0.9756362901709297,30
ca,first_alphabetically_different_first_letter,difficulty_stratified,0.01,42,0.9556034962213698,0.9671147667455198,30
ca,first_alphabetically_consecutive_first_letter,difficulty_stratified,0.01,42,0.9554003954357252,0.9713194987852813,30
ca,less_letters,difficulty_stratified,0.01,42,0.9540206420103896,0.9613914726776602,30
ca,more_letters_length_diff_3plus,difficulty_stratified,0.01,42,0.9521303256690861,0.9643260034908858,30
ca,least_associated_word,difficulty_stratified,0.01,42,0.9504140308892706,0.9749801419341719,30
ca,more_letters,difficulty_stratified,0.01,42,0.9395242774023889,0.9672325408506588,30
ca,rhyming_word,difficulty_stratified,0.01,42,0.9390171997493264,0.9622682836892364,30
ca,more_letters_length_diff_1,difficulty_stratified,0.01,42,0.9358919207529377,0.9319879893063038,30
ca,word_containing,difficulty_stratified,0.05,42,0.9327726183711686,0.9621784629992244,4
ca,first_alphabetically_same_first_letter,difficulty_mid,0.01,42,0.9288545611250537,0.9603304436167186,30
ca,less_letters_length_diff_1,difficulty_easy,0.01,42,0.9199970803025919,0.9069542158324134,30
ca,all_words_from_category,difficulty_stratified,0.05,42,0.9189544825551708,0.9852622026273803,150
ca,most_associated_word,difficulty_stratified,0.01,42,0.916301977415564,0.9707623426525457,30
ca,sentence_containing,difficulty_stratified,0.02,42,0.910693079425775,0.9315143653911444,60
ca,homophones,difficulty_stratified,0.01,42,0.9086538469177634,0.9376682557096021,27
ca,starts_with_letter,difficulty_easy,0.12,42,0.907741238227201,0.936430495765216,8
ca,ends_with_letter,difficulty_stratified,0.2,42,0.9069791211064802,0.9742486681314559,12
ca,starts_with_word,difficulty_stratified,0.02,42,0.9064336826319481,0.9047271939543908,10
ca,word_not_containing,difficulty_easy,0.03,42,0.9041238028188583,0.9407167068752256,2
ca,any_words_from_category,difficulty_stratified,0.05,42,0.9018017541496381,0.9840585019702353,150
