language,task,technique,ratio,seed,spearman,pearson,n_selected
es,ends_with_word,difficulty_mid,0.01,42,0.9845925980747086,0.926210624196864,28
es,all_words_from_category_2_distractors,difficulty_stratified,0.01,42,0.9771368796845668,0.988208016359032,30
es,all_words_from_category_1_distractors,difficulty_stratified,0.01,42,0.9760074174240201,0.9777169461000803,30
es,less_letters_length_diff_3plus,difficulty_stratified,0.01,42,0.9755838041068294,0.980652122931168,30
es,all_words_from_category_0_distractors,difficulty_stratified,0.01,42,0.9736286969555109,0.9831085319578377,30
es,more_letters_length_diff_3plus,difficulty_stratified,0.01,42,0.9735240241652101,0.9815872956299307,30
es,last_word,difficulty_stratified,0.01,42,0.9720726193312301,0.9851403073740062,30
es,smaller_number,difficulty_stratified,0.01,42,0.9707896928487669,0.9726188378921208,30
es,less_letters,difficulty_stratified,0.01,42,0.9700537504890335,0.976601556650947,30
es,word_after,difficulty_stratified,0.01,42,0.9661416374922693,0.982850530994005,30
es,more_letters,difficulty_stratified,0.01,42,0.9650643873718913,0.9746484380447026,30
es,rhyming_word_orthographically_similar,difficulty_stratified,0.01,42,0.9633970219862262,0.9667663534590607,30
es,most_associated_word,difficulty_easy,0.03,42,0.9618318255483354,0.9136304126387422,90
es,homophones,difficulty_easy,0.01,42,0.9602134995813586,0.9337205075386432,23
es,least_associated_word,difficulty_stratified,0.01,42,0.960106179367563,0.9762917811199727,30
es,word_containing,difficulty_mid,0.1,42,0.9577774102776927,0.938208024368459,8
es,bigger_number,difficulty_stratified,0.01,42,0.9570828711436936,0.9787669982349243,30
es,rhyming_word,difficulty_stratified,0.01,42,0.9569433651378368,0.9642356310052463,30
es,any_words_from_category_4_distractors,difficulty_stratified,0.01,42,0.9565119869127486,0.9856863742860908,30
es,any_words_from_category_3_distractors,difficulty_stratified,0.01,42,0.9564681821349461,0.9820920901315277,30
es,last_letter,difficulty_stratified,0.01,42,0.9547500772074462,0.9890473672163393,30
es,sentence_not_containing,difficulty_stratified,0.01,42,0.9533670747189329,0.9834419135757133,30
es,more_letters_length_diff_1,difficulty_stratified,0.01,42,0.9531816778322882,0.954961511775265,30
es,first_word,difficulty_stratified,0.01,42,0.9509954802121325,0.9864551040803384,30
es,first_alphabetically_far_first_letter,difficulty_stratified,0.01,42,0.9479560815699637,0.9548283792019332,30
es,first_letter,difficulty_stratified,0.01,42,0.9443566845548664,0.9880645550362823,30
es,first_alphabetically_consecutive_first_letter,difficulty_stratified,0.01,42,0.9435310035339807,0.9630303716879562,30
es,first_alphabetically_different_first_letter,difficulty_stratified,0.01,42,0.9423262224809703,0.9455011565028555,30
es,sentence_containing,difficulty_stratified,0.05,42,0.9311667930344831,0.9522351851802789,150
es,first_alphabetically,difficulty_stratified,0.01,42,0.9301985910955406,0.9484783532795622,30
es,starts_with_letter,difficulty_mid,0.12,42,0.9282561972238881,0.9148472500445747,8
es,less_letters_length_diff_1,difficulty_stratified,0.01,42,0.9258345129919054,0.9454464457897489,30
es,ends_with_letter,difficulty_mid,0.3,42,0.9208320069966068,0.9679695902524819,15
es,starts_with_word,difficulty_mid,0.03,42,0.9199372190937285,0.91880579970966,16
es,any_words_from_category_5_distractors,difficulty_stratified,0.01,42,0.9157408617760161,0.990254566837614,30
es,any_words_from_category,difficulty_stratified,0.05,42,0.9073454201591081,0.9859734662596324,150
es,first_alphabetically_same_first_letter,difficulty_stratified,0.01,42,0.9070952388358522,0.9158976720427525,30
es,word_not_containing,difficulty_stratified,0.1,42,0.906347553419744,0.9190617221730649,8
es,word_before,difficulty_stratified,0.01,42,0.9049814540905461,0.9482806930340516,30
es,all_words_from_category,difficulty_stratified,0.03,42,0.9018630321228687,0.9748537974242717,90
