language,task,technique,ratio,seed,spearman,pearson,n_selected
eu,first_alphabetically_far_first_letter,difficulty_mid,0.01,42,0.9757574981895814,0.908342375373174,30
eu,word_after,difficulty_easy,0.02,42,0.9729739518493916,0.9084730692585972,60
eu,all_words_from_category_2_distractors,difficulty_stratified,0.01,42,0.9725515867456718,0.9890845073323078,30
eu,bigger_number,difficulty_stratified,0.01,42,0.972067718431279,0.9856574835551786,30
eu,first_alphabetically_consecutive_first_letter,difficulty_easy,0.01,42,0.9713588456002914,0.9171048536059005,30
eu,first_alphabetically_different_first_letter,difficulty_easy,0.01,42,0.9705409946082266,0.9034288645467603,30
eu,first_alphabetically,difficulty_easy,0.01,42,0.9683229201538459,0.9046690530169736,30
eu,sentence_not_containing,difficulty_stratified,0.01,42,0.9674618731615208,0.985722373589319,30
eu,any_words_from_category_5_distractors,difficulty_stratified,0.01,42,0.9671979422119201,0.9921915007720707,30
eu,least_associated_word,difficulty_easy,0.02,42,0.965653258921304,0.9125810609243312,60
eu,smaller_number,difficulty_stratified,0.01,42,0.965531116539147,0.9890684710205331,30
eu,all_words_from_category_0_distractors,difficulty_stratified,0.01,42,0.9648397120945612,0.9929495240028056,30
eu,more_letters_length_diff_3plus,difficulty_stratified,0.01,42,0.9601752099662721,0.9864732070411404,30
eu,first_alphabetically_same_first_letter,difficulty_easy,0.01,42,0.9585933479164677,0.9258682036030188,30
eu,any_words_from_category_4_distractors,difficulty_easy,0.01,42,0.9575789648619849,0.9023386675524735,30
eu,any_words_from_category,difficulty_stratified,0.01,42,0.9570667922281313,0.9806128260115055,30
eu,any_words_from_category_3_distractors,difficulty_stratified,0.01,42,0.9531727337779274,0.9861525254798678,30
eu,first_word,difficulty_easy,0.01,42,0.9529704441833468,0.918799940887849,30
eu,last_letter,difficulty_stratified,0.01,42,0.9528355022579628,0.9913772130677683,30
eu,all_words_from_category_1_distractors,difficulty_stratified,0.01,42,0.9519078670391019,0.9832702340167588,30
eu,all_words_from_category,difficulty_easy,0.01,42,0.9485260883427302,0.9501368062326738,30
eu,less_letters,difficulty_stratified,0.01,42,0.9481987026882099,0.9829617461825907,30
eu,sentence_containing,difficulty_stratified,0.01,42,0.947357415253866,0.9749796638465982,30
eu,ends_with_word,difficulty_stratified,0.01,42,0.9456092608202835,0.9620847963835282,28
eu,less_letters_length_diff_3plus,difficulty_stratified,0.01,42,0.943144486264772,0.9846371627024488,30
eu,rhyming_word,difficulty_easy,0.01,42,0.9418266371267754,0.9558524748773689,30
eu,more_letters_length_diff_1,difficulty_stratified,0.01,42,0.9411370707046713,0.9823888901121101,30
eu,first_letter,difficulty_easy,0.01,42,0.9404586818638111,0.9040322581423289,30
eu,more_letters,difficulty_stratified,0.01,42,0.9395208053140326,0.9834644638938093,30
eu,less_letters_length_diff_1,difficulty_stratified,0.01,42,0.9311276317946366,0.9790877854813209,30
eu,last_word,difficulty_mid,0.01,42,0.930447208569673,0.9570318243581926,30
eu,starts_with_word,difficulty_hard,0.07,42,0.9193572457825285,0.9719025213471706,34
eu,word_containing,difficulty_easy,0.07,42,0.918199237022379,0.9363336950775958,5
eu,starts_with_letter,difficulty_easy,0.07,42,0.9163063653676522,0.9261586531561212,4
eu,rhyming_word_orthographically_similar,difficulty_easy,0.02,42,0.9139557816097499,0.9641498493880953,60
eu,word_not_containing,difficulty_easy,0.2,42,0.9134608624935907,0.9790677350527791,16
eu,word_before,difficulty_easy,0.01,42,0.9083983723698444,0.9720708908138384,30
eu,ends_with_letter,difficulty_hard,0.3,42,0.9074758109600484,0.9531914221458596,11
eu,most_associated_word,difficulty_stratified,0.01,42,0.9021819528936894,0.9706884107498743,30
