language,task,technique,ratio,seed,spearman,pearson,n_selected
ko,smaller_number,difficulty_stratified,0.01,42,0.9830479238264971,0.9868862954596538,30
ko,more_letters_length_diff_1,difficulty_hard,0.01,42,0.9788871760504347,0.9282502585348553,30
ko,bigger_number,difficulty_stratified,0.01,42,0.9778906647317729,0.9908523802489444,30
ko,more_letters,difficulty_mid,0.01,42,0.9755432177867228,0.9431118638756991,30
ko,less_letters_length_diff_1,difficulty_stratified,0.01,42,0.9722258501924561,0.9885322380502496,30
ko,most_associated_word,difficulty_mid,0.01,42,0.9684911612264144,0.9722194996047933,30
ko,sentence_containing,difficulty_mid,0.01,42,0.9628984677606489,0.930110934470614,29
ko,all_words_from_category_1_distractors,difficulty_stratified,0.01,42,0.9627347446332097,0.9919886920787192,30
ko,any_words_from_category_5_distractors,difficulty_mid,0.01,42,0.9621199892488674,0.9451917299494368,30
ko,any_words_from_category,difficulty_mid,0.01,42,0.9595177363293802,0.9260294064406777,30
ko,rhyming_word,difficulty_mid,0.01,42,0.9571980876479681,0.9135100323158474,30
ko,less_letters,difficulty_mid,0.01,42,0.9569230167838789,0.9027060579044428,30
ko,first_letter,difficulty_stratified,0.01,42,0.9557275148645519,0.968802621732896,30
ko,last_letter,difficulty_stratified,0.01,42,0.9546167711731955,0.9553870980697796,30
ko,word_before,difficulty_stratified,0.01,42,0.9507849845102616,0.9538209782242866,30
ko,least_associated_word,difficulty_easy,0.01,42,0.9505487128535055,0.9169936127430185,30
ko,starts_with_word,difficulty_stratified,0.02,42,0.9503330167412661,0.9668833858148305,60
ko,first_alphabetically,difficulty_hard,0.01,42,0.9499989465609155,0.9483148971832007,30
ko,more_letters_length_diff_3plus,difficulty_stratified,0.01,42,0.9493484188808712,0.9852579260945558,30
ko,word_after,difficulty_stratified,0.01,42,0.9490987589699034,0.9609979855168975,30
ko,last_word,difficulty_stratified,0.01,42,0.9488058366406552,0.9656482772200888,30
ko,any_words_from_category_4_distractors,difficulty_mid,0.01,42,0.9456402640676522,0.9488422369713845,30
ko,all_words_from_category_2_distractors,difficulty_stratified,0.01,42,0.9446520902276405,0.9939802192004807,30
ko,all_words_from_category,difficulty_stratified,0.01,42,0.9402179863336573,0.9933950230755577,30
ko,less_letters_length_diff_3plus,difficulty_stratified,0.01,42,0.9393889066268162,0.9878924949694772,30
ko,homophones,difficulty_stratified,0.02,42,0.9348621564595497,0.9771301805916026,48
ko,any_words_from_category_3_distractors,difficulty_mid,0.01,42,0.9343312963155668,0.9433018770269588,30
ko,first_word,difficulty_stratified,0.01,42,0.9276480092773517,0.970247523359953,30
ko,sentence_not_containing,difficulty_easy,0.01,42,0.9247607103202102,0.956175068919963,30
ko,ends_with_word,difficulty_stratified,0.01,42,0.9244420294545315,0.967954819068225,30
ko,rhyming_word_orthographically_similar,difficulty_mid,0.01,42,0.9236784668620523,0.9045530334969021,30
ko,all_words_from_category_0_distractors,difficulty_mid,0.01,42,0.9155975586745179,0.9116824674408834,30
ko,word_containing,difficulty_mid,0.07,42,0.9081801990423831,0.90286459369382,5
ko,word_not_containing,difficulty_easy,0.07,42,0.9049996888233773,0.9589922317316415,5
ko,ends_with_letter,difficulty_easy,1.0,42,,,120
ko,starts_with_letter,difficulty_easy,1.0,42,,,57
