language,task,technique,ratio,seed,spearman,pearson,n_selected
ca,all_words_from_category_2_distractors,random,0.01,42,0.9790786561157911,0.984246047403738,30
ca,smaller_number,random,0.01,42,0.9760319196827281,0.9772178474587255,30
ca,any_words_from_category_5_distractors,random,0.01,42,0.9750827852648799,0.9865518751294917,30
ca,first_word,random,0.01,42,0.97332053759483,0.9893791571114912,30
ca,first_alphabetically_far_first_letter,random,0.01,42,0.9731768301506033,0.9758181547260671,30
ca,last_letter,random,0.01,42,0.9728930472784272,0.9769666332737805,30
ca,bigger_number,random,0.01,42,0.96617020915267,0.9791775665398721,30
ca,ends_with_word,random,0.01,42,0.9653297025012115,0.9714197744581692,29
ca,first_letter,random,0.01,42,0.9645277505398138,0.985427688934376,30
ca,sentence_not_containing,random,0.01,42,0.9633745365157472,0.9792308226975301,30
ca,rhyming_word_orthographically_similar,random,0.01,42,0.9632279908712489,0.961789277147459,30
ca,more_letters_length_diff_3plus,random,0.01,42,0.9628673539122745,0.9723218459558257,30
ca,all_words_from_category_1_distractors,random,0.01,42,0.9627695149099513,0.9735319912359274,30
ca,word_after,random,0.01,42,0.9592814025262989,0.9762973124570734,30
ca,first_alphabetically_different_first_letter,random,0.01,42,0.9582275915139431,0.9665900064818238,30
ca,any_words_from_category_4_distractors,random,0.01,42,0.9562033053284953,0.9759348740083259,30
ca,less_letters_length_diff_3plus,random,0.01,42,0.9553597832798899,0.9635615757857767,30
ca,less_letters_length_diff_1,random,0.02,42,0.9541367690769351,0.9737177750371822,60
ca,last_word,random,0.01,42,0.9512548790571436,0.9603017277677162,30
ca,first_alphabetically,random,0.01,42,0.9512313937689681,0.9608742942818664,30
ca,first_alphabetically_consecutive_first_letter,random,0.01,42,0.9500788210743725,0.9628816267618153,30
ca,all_words_from_category_0_distractors,random,0.01,42,0.9488039015249938,0.9650263924062603,30
ca,any_words_from_category_3_distractors,random,0.01,42,0.9484907962458345,0.9708675099676068,30
ca,rhyming_word,random,0.01,42,0.945148349108883,0.9672836053990511,30
ca,word_before,random,0.02,42,0.9445372518986905,0.9660842704836821,60
ca,ends_with_letter,random,0.3,42,0.9444791465266049,0.9834301871280615,18
ca,more_letters,random,0.01,42,0.9429733958393678,0.9600150806044647,30
ca,least_associated_word,random,0.01,42,0.9384689548222176,0.9514491526719777,30
ca,most_associated_word,random,0.02,42,0.9369788401483939,0.9791304310257365,60
ca,less_letters,random,0.01,42,0.9369676500163278,0.9598998482392707,30
ca,starts_with_word,random,0.03,42,0.928861372004081,0.9473766210421397,15
ca,word_not_containing,random,0.05,42,0.9260635258464276,0.9304146214185833,4
ca,more_letters_length_diff_1,random,0.01,42,0.9251035547595483,0.9253010135801747,30
ca,homophones,random,0.01,42,0.9188552275986932,0.9668478164916585,27
ca,first_alphabetically_same_first_letter,random,0.01,42,0.9144560445582579,0.9360212694232392,30
ca,sentence_containing,random,0.02,42,0.9140738246284766,0.9247905201325897,60
ca,starts_with_letter,random,0.15,42,0.9091487795689311,0.9483286067642048,10
ca,any_words_from_category,random,0.07,42,0.9086145500764254,0.9839942767896338,210
ca,all_words_from_category,random,0.05,42,0.90673792136275,0.9821715764981732,150
ca,word_containing,random,0.07,42,0.9045190466631676,0.9448927128165219,5
