language,task,technique,ratio,seed,spearman,pearson,n_selected
de,any_words_from_category_5_distractors,random,0.01,42,0.9668763894384788,0.9917325905430667,30
de,all_words_from_category_1_distractors,random,0.01,42,0.9644515184890675,0.9860971990136536,30
de,any_words_from_category_4_distractors,random,0.01,42,0.9642254089021465,0.9782810999897991,30
de,any_words_from_category_3_distractors,random,0.01,42,0.9641245090540979,0.97559829732813,30
de,all_words_from_category_2_distractors,random,0.01,42,0.9603910527464787,0.9854902178388794,30
de,more_letters_length_diff_3plus,random,0.01,42,0.952467611315247,0.9636839198594712,30
de,starts_with_word,random,0.02,42,0.9500993936063458,0.9475859952869592,9
de,sentence_not_containing,random,0.01,42,0.9463146694677022,0.968515626837031,30
de,all_words_from_category_0_distractors,random,0.01,42,0.9439661779154682,0.9672971295093558,30
de,bigger_number,random,0.01,42,0.9432740233052977,0.9661098600283471,30
de,more_letters_length_diff_1,random,0.02,42,0.9400677506714401,0.9456816356120543,60
de,first_alphabetically,random,0.02,42,0.9385980340280713,0.9914033740172175,60
de,first_letter,random,0.02,42,0.9377114089369862,0.9702164878792449,60
de,most_associated_word,random,0.05,42,0.9366325740999355,0.9632035922972024,150
de,first_alphabetically_far_first_letter,random,0.02,42,0.9344546129259654,0.9911874266765996,60
de,least_associated_word,random,0.07,42,0.9342645999952552,0.9586488801441662,210
de,less_letters_length_diff_3plus,random,0.01,42,0.9265636517720253,0.9502928731864289,30
de,word_containing,random,0.18,42,0.9238697143292592,0.9258593676829995,16
de,sentence_containing,random,0.05,42,0.9224337562623877,0.9650110252770059,150
de,first_alphabetically_different_first_letter,random,0.02,42,0.9221921873276893,0.9897822048738902,60
de,more_letters,random,0.01,42,0.9220454282757627,0.9308931119359527,30
de,less_letters_length_diff_1,random,0.02,42,0.9219954877423951,0.9544399250838067,60
de,first_alphabetically_same_first_letter,random,0.02,42,0.9203237036451801,0.9869092771883677,60
de,any_words_from_category,random,0.15,42,0.9201053555750659,0.9966814509834598,450
de,starts_with_letter,random,0.07,42,0.9188724063824918,0.9441988351416479,5
de,word_after,random,0.03,42,0.9164368013685783,0.990597837492116,90
de,homophones,random,0.2,42,0.9154502107482669,0.9911455844172425,940
de,last_letter,random,0.02,42,0.9149216808740033,0.9905887861565172,60
de,ends_with_letter,random,0.3,42,0.9141804774611761,0.9708849387457689,21
de,last_word,random,0.05,42,0.9136542381974,0.9913816537426228,150
de,rhyming_word_orthographically_similar,random,0.15,42,0.9134055850391046,0.9949191249701408,450
de,first_alphabetically_consecutive_first_letter,random,0.02,42,0.9124623452253495,0.9906800055987268,60
de,less_letters,random,0.02,42,0.9106472895656115,0.9555881231125971,60
de,first_word,random,0.03,42,0.910589455448487,0.9922888330639392,90
de,ends_with_word,random,0.02,42,0.9088343909843579,0.9836851074493298,57
de,word_not_containing,random,0.1,42,0.906261295825335,0.963885319389252,9
de,smaller_number,random,0.01,42,0.9051175249832171,0.9755891511654546,30
de,all_words_from_category,random,0.03,42,0.9044948567819917,0.9735296507599638,90
de,rhyming_word,random,0.3,42,0.9034425883664148,0.9985708253967654,900
de,word_before,random,0.18,42,0.9032391004595185,0.9984084024006115,540
