language,task,technique,ratio,seed,spearman,pearson,n_selected
en,least_associated_word,random,0.01,42,0.9810800255595772,0.9869872907610139,30
en,any_words_from_category_3_distractors,random,0.01,42,0.9786807164105895,0.9809824825773112,30
en,all_words_from_category_2_distractors,random,0.01,42,0.976004861801903,0.9777359928015485,30
en,word_after,random,0.01,42,0.9747122658288604,0.9826865951821793,30
en,most_associated_word,random,0.01,42,0.9736401346699302,0.9835054646576937,30
en,first_alphabetically_far_first_letter,random,0.01,42,0.9720733461690318,0.9702034574926808,30
en,any_words_from_category,random,0.02,42,0.9698983864550275,0.9848543901410941,60
en,more_letters_length_diff_3plus,random,0.01,42,0.9689035915699273,0.9663336319734936,30
en,first_alphabetically,random,0.01,42,0.9661846937295389,0.9709728760952625,30
en,all_words_from_category_1_distractors,random,0.01,42,0.9652487479796198,0.9544766915221921,30
en,last_letter,random,0.01,42,0.9636442052305476,0.9844182915087429,30
en,ends_with_word,random,0.01,42,0.9616034544710481,0.9912922775134201,30
en,rhyming_word_orthographically_similar,random,0.01,42,0.9611725970782452,0.9735302211443131,30
en,less_letters_length_diff_3plus,random,0.01,42,0.9602358004402085,0.9749694680975995,30
en,last_word,random,0.01,42,0.9563018021808438,0.9824299530168814,30
en,any_words_from_category_4_distractors,random,0.01,42,0.9560091213487786,0.9622985767222264,30
en,less_letters_length_diff_1,random,0.01,42,0.9538122865302534,0.9492598048576858,30
en,homophones,random,0.01,42,0.9531030366669374,0.9686759130288285,24
en,less_letters,random,0.01,42,0.9517366968745327,0.9603469751210787,30
en,word_before,random,0.01,42,0.9513601697100251,0.9658373577318969,30
en,first_word,random,0.01,42,0.9504493928730536,0.9806415035079168,30
en,bigger_number,random,0.01,42,0.9492016096481155,0.9776083933750248,30
en,rhyming_word,random,0.01,42,0.9472711496890835,0.9653197502735071,30
en,first_alphabetically_different_first_letter,random,0.01,42,0.9458700357020076,0.9649855430980415,30
en,first_alphabetically_consecutive_first_letter,random,0.01,42,0.9458036612494101,0.97251904495244,30
en,starts_with_word,random,0.01,42,0.9438183925062664,0.9900888474620431,30
en,rhyming_word_orthographically_different,random,0.01,42,0.9432431992945176,0.9672271790640792,30
en,more_letters,random,0.01,42,0.9401466732145612,0.9525428022450173,30
en,smaller_number,random,0.01,42,0.9383985819490338,0.9630881175678256,30
en,more_letters_length_diff_1,random,0.01,42,0.9373507078013362,0.9440841271883171,30
en,starts_with_letter,random,0.1,42,0.9342113145709361,0.9880831016090432,7
en,sentence_not_containing,random,0.01,42,0.9298900261433607,0.9766954439986434,30
en,word_containing,random,0.07,42,0.9275679360699348,0.9600270157309723,5
en,all_words_from_category_0_distractors,random,0.01,42,0.9226917916970737,0.9866277491967317,30
en,ends_with_letter,random,0.1,42,0.9217112958161584,0.9626843281632754,6
en,first_alphabetically_same_first_letter,random,0.01,42,0.9202732468873038,0.9326880939777215,30
en,word_not_containing,random,0.07,42,0.917028908847399,0.9168439988659451,5
en,any_words_from_category_5_distractors,random,0.2,42,0.908943487962992,0.9997976648957665,600
en,all_words_from_category,random,0.01,42,0.9039703714688248,0.9471052801191349,30
en,sentence_containing,random,0.03,42,0.9009579201828083,0.9005234768157948,90
en,first_letter,random,0.01,42,0.9006842528388264,0.9870668404470033,30
