language,task,technique,ratio,seed,spearman,pearson,n_selected
es,all_words_from_category_2_distractors,random,0.01,42,0.9824274970156173,0.9844256847600774,30
es,less_letters_length_diff_3plus,random,0.01,42,0.979334983291752,0.9819601341605912,30
es,all_words_from_category_0_distractors,random,0.01,42,0.9759986263811271,0.9768663638025126,30
es,ends_with_word,random,0.01,42,0.9697528339444039,0.9862961921570672,28
es,all_words_from_category_1_distractors,random,0.01,42,0.9650100790371106,0.9716875711196529,30
es,smaller_number,random,0.01,42,0.9648668892632355,0.9665907346168888,30
es,last_word,random,0.01,42,0.9647502448224047,0.9831064377650287,30
es,first_word,random,0.01,42,0.9625417352121362,0.9848955149868844,30
es,last_letter,random,0.01,42,0.9618670444206485,0.9850476310147828,30
es,sentence_not_containing,random,0.01,42,0.9587501688729845,0.9795221704897412,30
es,less_letters,random,0.01,42,0.9584723194352103,0.9625603105976159,30
es,least_associated_word,random,0.01,42,0.9580158422105013,0.9739334824863788,30
es,word_after,random,0.01,42,0.9578248162866121,0.9715842337539282,30
es,rhyming_word_orthographically_similar,random,0.01,42,0.9567638787179841,0.9767057381174988,30
es,any_words_from_category_3_distractors,random,0.01,42,0.9566085806825387,0.9823949414051072,30
es,more_letters_length_diff_3plus,random,0.01,42,0.9532936094505655,0.9721934875752547,30
es,rhyming_word,random,0.01,42,0.9495660723702983,0.9543929120148302,30
es,first_letter,random,0.01,42,0.947658381721376,0.9843875676843533,30
es,first_alphabetically_far_first_letter,random,0.01,42,0.94589009051036,0.9530435292799737,30
es,any_words_from_category_4_distractors,random,0.01,42,0.9453826956660875,0.9887215249925708,30
es,first_alphabetically,random,0.01,42,0.9441527042733973,0.9603842140191916,30
es,more_letters,random,0.01,42,0.9432749881693645,0.9645409550653287,30
es,first_alphabetically_consecutive_first_letter,random,0.01,42,0.9432488407637976,0.9583549711399205,30
es,more_letters_length_diff_1,random,0.01,42,0.940868943718043,0.9517428531475459,30
es,homophones,random,0.01,42,0.9393624469044595,0.9744582082050222,23
es,first_alphabetically_different_first_letter,random,0.01,42,0.9355120829812581,0.9553423249556108,30
es,bigger_number,random,0.01,42,0.932758089415493,0.9711494696885443,30
es,word_not_containing,random,0.12,42,0.9316276430271258,0.9536126492535141,9
es,less_letters_length_diff_1,random,0.01,42,0.9239293547353677,0.9435561607968677,30
es,all_words_from_category,random,0.05,42,0.9233509766216017,0.9714127249099327,150
es,most_associated_word,random,0.02,42,0.9229228084739298,0.9902117077310033,60
es,sentence_containing,random,0.05,42,0.9213209064654488,0.9520766485528748,150
es,any_words_from_category_5_distractors,random,0.01,42,0.9177530364733405,0.990927515093317,30
es,word_containing,random,0.07,42,0.9174508498084508,0.9262879515548439,5
es,first_alphabetically_same_first_letter,random,0.01,42,0.9156653291403924,0.9313826737100456,30
es,any_words_from_category,random,0.05,42,0.9122901742028453,0.9777572305783597,150
es,word_before,random,0.01,42,0.9084278233953746,0.9391039824595896,30
es,ends_with_letter,random,0.3,42,0.9062630045050402,0.9772845495983936,15
es,starts_with_word,random,0.03,42,0.9035297302104681,0.9681284853299109,16
es,starts_with_letter,random,0.1,42,0.9003369840494517,0.9252434791208382,7
