language,task,technique,ratio,seed,spearman,pearson,n_selected
eu,bigger_number,random,0.01,42,0.9795252254378015,0.9896310079140647,30
eu,all_words_from_category_2_distractors,random,0.01,42,0.9701674575119689,0.9886650491212295,30
eu,sentence_not_containing,random,0.01,42,0.966946013912398,0.9893166444838266,30
eu,more_letters_length_diff_3plus,random,0.01,42,0.9620367396698125,0.9833820712416681,30
eu,any_words_from_category_5_distractors,random,0.01,42,0.9592539987835271,0.9948577881735097,30
eu,all_words_from_category_1_distractors,random,0.01,42,0.9580887636411561,0.9815551016256727,30
eu,first_alphabetically_far_first_letter,random,0.01,42,0.9565246028529049,0.9850089922141488,30
eu,more_letters,random,0.01,42,0.9543567237319321,0.9846399469143421,30
eu,first_alphabetically_consecutive_first_letter,random,0.01,42,0.9529049562604202,0.9870398849520773,30
eu,first_alphabetically_different_first_letter,random,0.01,42,0.9506675223107739,0.9834097192565738,30
eu,smaller_number,random,0.01,42,0.9506391865856865,0.989106314922419,30
eu,first_alphabetically_same_first_letter,random,0.01,42,0.9499942792065068,0.9626816521419596,30
eu,ends_with_word,random,0.01,42,0.9498920996354818,0.9643209099457666,28
eu,sentence_containing,random,0.01,42,0.9497610402976617,0.9808183919549671,30
eu,all_words_from_category_0_distractors,random,0.01,42,0.9487011307109365,0.9920432031825135,30
eu,first_word,random,0.01,42,0.9471858431798473,0.9871859365278726,30
eu,more_letters_length_diff_1,random,0.01,42,0.946490755620128,0.9882140229731371,30
eu,any_words_from_category,random,0.01,42,0.9451135575600103,0.9580733197819356,30
eu,last_letter,random,0.01,42,0.9418682032437704,0.9842991880182543,30
eu,less_letters,random,0.01,42,0.9413193523773375,0.9855761248366267,30
eu,first_alphabetically,random,0.01,42,0.9406453866190732,0.9814831093943119,30
eu,less_letters_length_diff_3plus,random,0.01,42,0.9391618975899703,0.9868411151363576,30
eu,less_letters_length_diff_1,random,0.01,42,0.9354000786155344,0.9823825547025227,30
eu,first_letter,random,0.01,42,0.9301342599048184,0.9890861427948783,30
eu,starts_with_letter,random,0.15,42,0.9298176068374461,0.9562276903596568,9
eu,all_words_from_category,random,0.02,42,0.9287551212804637,0.9746978728234159,60
eu,any_words_from_category_3_distractors,random,0.01,42,0.9276873769691035,0.979474189901642,30
eu,rhyming_word,random,0.05,42,0.927484026184425,0.9943812897229956,150
eu,word_after,random,0.02,42,0.9212212841769705,0.9840258075026143,60
eu,word_containing,random,0.1,42,0.9210951750879649,0.9581644044449809,8
eu,starts_with_word,random,0.18,42,0.9204745166959579,0.9942651446760585,89
eu,rhyming_word_orthographically_similar,random,0.05,42,0.9184191644928592,0.9969167277440973,150
eu,word_before,random,0.07,42,0.9183526776073623,0.9936912973628081,210
eu,ends_with_letter,random,0.5,42,0.9144505212261285,0.9769172691327428,19
eu,any_words_from_category_4_distractors,random,0.01,42,0.9133220335221897,0.9793567205875555,30
eu,last_word,random,0.02,42,0.9125029788591689,0.9721004603622522,60
eu,most_associated_word,random,0.01,42,0.9124055882106863,0.9796844954718444,30
eu,word_not_containing,random,0.25,42,0.9105555480877534,0.9835146217887774,20
eu,least_associated_word,random,0.01,42,0.9056775454141733,0.9826217128329706,30
