language,task,technique,ratio,seed,spearman,pearson,n_selected
gl,all_words_from_category_1_distractors,random,0.01,42,0.9781335978710629,0.9886563577728924,30
gl,all_words_from_category_2_distractors,random,0.01,42,0.9740957142898128,0.9908416334706002,30
gl,more_letters_length_diff_3plus,random,0.01,42,0.9729223351120502,0.9825773338160337,30
gl,more_letters_length_diff_1,random,0.01,42,0.9720305484414403,0.9724510083770204,30
gl,first_letter,random,0.01,42,0.9695619277300538,0.9752030516964507,30
gl,more_letters,random,0.01,42,0.9679049247855731,0.9761028524846722,30
gl,smaller_number,random,0.01,42,0.9676117862796398,0.9817213069298648,30
gl,bigger_number,random,0.01,42,0.9660363771162632,0.973482162999955,30
gl,sentence_not_containing,random,0.01,42,0.9633807110165369,0.9776888883387913,30
gl,any_words_from_category_3_distractors,random,0.01,42,0.9626552652357891,0.9722508119033688,30
gl,less_letters_length_diff_3plus,random,0.01,42,0.9619719441394748,0.9730265644654574,30
gl,all_words_from_category_0_distractors,random,0.01,42,0.9615488629203117,0.9641918095803994,30
gl,any_words_from_category_5_distractors,random,0.01,42,0.9592946400251461,0.994042093070345,30
gl,first_alphabetically_consecutive_first_letter,random,0.02,42,0.9534173310741814,0.9509438365956684,60
gl,any_words_from_category_4_distractors,random,0.01,42,0.9512801324987263,0.9789642732063258,30
gl,homophones,random,0.1,42,0.9444272822782802,0.9871585695660154,79
gl,less_letters_length_diff_1,random,0.01,42,0.9403310813115286,0.9444679583807645,30
gl,sentence_containing,random,0.07,42,0.9365575614459838,0.9685913803774661,210
gl,least_associated_word,random,0.02,42,0.9360806640545241,0.9826146320528901,60
gl,any_words_from_category,random,0.02,42,0.9287375366766153,0.9790129705323869,60
gl,first_word,random,0.01,42,0.9284901809941231,0.9675494196556677,30
gl,less_letters,random,0.01,42,0.9281380251254597,0.9523377982163075,30
gl,ends_with_word,random,0.01,42,0.926019507285208,0.9737302201653131,28
gl,rhyming_word,random,0.01,42,0.9257495245662821,0.9624092558132287,30
gl,starts_with_word,random,0.05,42,0.9249210705334301,0.9597726972255838,27
gl,first_alphabetically_far_first_letter,random,0.01,42,0.9228837023052313,0.9444973429975321,30
gl,word_not_containing,random,0.07,42,0.9184342501529188,0.9093901875913403,5
gl,last_word,random,0.02,42,0.9176530827550171,0.9911296408513999,60
gl,rhyming_word_orthographically_similar,random,0.01,42,0.917188861649537,0.9455765332160749,30
gl,starts_with_letter,random,0.15,42,0.9152930621483523,0.9509224387493921,9
gl,last_letter,random,0.07,42,0.9141495095594127,0.9960759019098542,210
gl,word_containing,random,0.07,42,0.9139009682454906,0.9225183337595864,5
gl,ends_with_letter,random,0.3,42,0.9128843784313443,0.9154681933331478,9
gl,first_alphabetically,random,0.01,42,0.9113713454558882,0.9101197439478472,30
gl,all_words_from_category,random,0.02,42,0.9112998306468385,0.9719268140740496,60
gl,word_after,random,0.02,42,0.9094424978479162,0.9845244948342475,60
gl,first_alphabetically_different_first_letter,random,0.01,42,0.9059992214977928,0.9076768729344067,30
gl,word_before,random,0.05,42,0.9046600054948226,0.9733976912724978,150
gl,first_alphabetically_same_first_letter,random,0.01,42,0.902568736581167,0.9083064756768403,30
gl,most_associated_word,random,0.01,42,0.9023888695774759,0.9444332720519324,30
