language,task,technique,ratio,seed,spearman,pearson,n_selected
it,all_words_from_category_0_distractors,random,0.01,42,0.9852691086118943,0.9778945932733267,30
it,bigger_number,random,0.01,42,0.9770987269508651,0.9723167489545161,30
it,all_words_from_category_2_distractors,random,0.01,42,0.9766622166919641,0.9824500068713411,30
it,all_words_from_category_1_distractors,random,0.01,42,0.9764811760124171,0.9747847994872416,30
it,any_words_from_category_5_distractors,random,0.01,42,0.9759908241367086,0.9903569858209986,30
it,any_words_from_category_3_distractors,random,0.01,42,0.9713861603031304,0.9823596191486847,30
it,more_letters_length_diff_1,random,0.01,42,0.9637163267947555,0.967377562517867,30
it,less_letters_length_diff_3plus,random,0.01,42,0.9618325513165595,0.9644635101441557,30
it,more_letters_length_diff_3plus,random,0.01,42,0.9603528927634739,0.9677729550113207,30
it,any_words_from_category_4_distractors,random,0.01,42,0.9601855649187303,0.9851825900860995,30
it,any_words_from_category,random,0.05,42,0.9587012319144779,0.9882108396483547,150
it,last_letter,random,0.01,42,0.9557815580364851,0.9643215234377764,30
it,ends_with_word,random,0.01,42,0.9547833573617805,0.982293691666456,28
it,smaller_number,random,0.01,42,0.9513009520383754,0.9701749566002101,30
it,sentence_not_containing,random,0.01,42,0.9503976805745034,0.9738992599709317,30
it,less_letters,random,0.01,42,0.9458909791049146,0.9667413622633342,30
it,least_associated_word,random,0.01,42,0.9440127319466812,0.9654439602758889,30
it,first_alphabetically_different_first_letter,random,0.01,42,0.9419314354714521,0.9428766528113,30
it,less_letters_length_diff_1,random,0.01,42,0.9417240586213864,0.9600250515854389,30
it,more_letters,random,0.01,42,0.9417008285258179,0.9573578581296128,30
it,word_after,random,0.02,42,0.9387508884341607,0.9822418005889358,60
it,first_word,random,0.01,42,0.9384092954976535,0.9627815080271924,30
it,rhyming_word,random,0.02,42,0.9371782935930452,0.962719783200738,60
it,first_alphabetically,random,0.01,42,0.9358255892783223,0.9685712873745033,30
it,first_alphabetically_far_first_letter,random,0.01,42,0.934504966841287,0.9583824557650065,30
it,sentence_containing,random,0.03,42,0.9329778095661709,0.9456743107719698,90
it,first_alphabetically_consecutive_first_letter,random,0.01,42,0.9295845093230528,0.9404357259537715,30
it,word_before,random,0.03,42,0.9278063171328286,0.9769729426426885,90
it,first_letter,random,0.01,42,0.9256994920696908,0.959251747185542,30
it,all_words_from_category,random,0.02,42,0.9230539666622359,0.9643333455067785,60
it,word_containing,random,0.15,42,0.9191540849306788,0.9415848639930997,14
it,first_alphabetically_same_first_letter,random,0.01,42,0.9157753111342126,0.9243956316560339,30
it,last_word,random,0.01,42,0.9118576298155656,0.973901505106265,30
it,ends_with_letter,random,0.25,42,0.9102053754736911,0.9277060976774877,13
it,rhyming_word_orthographically_similar,random,0.01,42,0.9074351445817936,0.9311272782165871,30
it,word_not_containing,random,0.1,42,0.9071140067082539,0.9348120045321469,9
it,starts_with_word,random,0.05,42,0.9067423730379168,0.96729809449777,26
it,homophones,random,0.12,42,0.9042667332742826,0.9915684995779042,43
it,most_associated_word,random,0.03,42,0.9034843003082513,0.9979440322770509,90
it,starts_with_letter,random,0.07,42,0.9012161781008469,0.9365542301870774,6
