language,task,technique,ratio,seed,spearman,pearson,n_selected
ko,smaller_number,random,0.01,42,0.9792838562233306,0.9849340990592588,30
ko,bigger_number,random,0.01,42,0.9747722496749729,0.9886957276854323,30
ko,less_letters_length_diff_1,random,0.01,42,0.9642417481136116,0.981878736826954,30
ko,most_associated_word,random,0.01,42,0.9591373125056,0.9778168398426352,30
ko,all_words_from_category_2_distractors,random,0.01,42,0.9581215022851457,0.9942241081094443,30
ko,more_letters_length_diff_3plus,random,0.01,42,0.9575389582053875,0.9861691115308177,30
ko,first_letter,random,0.01,42,0.9564500415322782,0.9618148206908553,30
ko,sentence_containing,random,0.01,42,0.9516306788734231,0.9697250920291363,29
ko,any_words_from_category_5_distractors,random,0.02,42,0.9508119904247192,0.9992283737253291,60
ko,last_word,random,0.01,42,0.949057067287703,0.9612603552549835,30
ko,all_words_from_category_1_distractors,random,0.01,42,0.9466206044319941,0.9912155043798784,30
ko,less_letters,random,0.01,42,0.9461809814708458,0.9833010424515658,30
ko,least_associated_word,random,0.01,42,0.9459823757273598,0.9703877064249572,30
ko,more_letters_length_diff_1,random,0.01,42,0.9457009494747353,0.9889138342701171,30
ko,last_letter,random,0.01,42,0.9429289217673327,0.9459795159587581,30
ko,less_letters_length_diff_3plus,random,0.01,42,0.941629338440084,0.9887836746574256,30
ko,all_words_from_category_0_distractors,random,0.05,42,0.9392797117001911,0.9995526863627688,150
ko,more_letters,random,0.01,42,0.9350040841711474,0.9769659970858786,30
ko,sentence_not_containing,random,0.05,42,0.934088609753895,0.9992079804573514,150
ko,first_word,random,0.01,42,0.9327690970363647,0.9692048254633248,30
ko,word_after,random,0.01,42,0.9320657793319517,0.962456641395309,30
ko,ends_with_word,random,0.01,42,0.9311374753254151,0.9697211345679668,30
ko,all_words_from_category,random,0.01,42,0.9295337683455495,0.9921607137812256,30
ko,rhyming_word,random,0.01,42,0.9295189946697846,0.9819615006304021,30
ko,rhyming_word_orthographically_similar,random,0.01,42,0.9257063536418539,0.9882313563262131,30
ko,word_not_containing,random,0.2,42,0.9225858343867935,0.9688043388182254,15
ko,any_words_from_category,random,0.01,42,0.9145145622496236,0.9973256064346375,30
ko,first_alphabetically,random,0.01,42,0.9134044292178604,0.9910894217728083,30
ko,word_before,random,0.01,42,0.9131539474348129,0.9343929602513512,30
ko,any_words_from_category_4_distractors,random,0.02,42,0.9111336128290307,0.9989287485455525,60
ko,any_words_from_category_3_distractors,random,0.02,42,0.9104682161895403,0.9985923757104271,60
ko,word_containing,random,0.12,42,0.9102429002290306,0.9504573448939724,9
ko,homophones,random,0.01,42,0.9080188699219962,0.9466786044763087,24
ko,starts_with_word,random,0.01,42,0.9003700700990186,0.9552918023968473,30
ko,ends_with_letter,random,1.0,42,,,120
ko,starts_with_letter,random,1.0,42,,,57
