Topic,Word,POS,Transcription,,,,,
زندگی,زندگی,NOUN,zendeɡiː,,,,,
زندگی,مرگ,NOUN,mærɡ,,,,,
زندگی,تولد,NOUN,tævællod,,,,,
زندگی,رشد,NOUN,rosd,,,,,
زندگی,تجربه,NOUN,tæjrobe,,,,,
زندگی,پیری,NOUN,piːriː,,,,,
زندگی,جوانی,NOUN,jævæniː,,,,,
زندگی,حیات,NOUN,hæyæt,,,,,
سبزیجات,گوجه,NOUN,ɡowje,,,,,
سبزیجات,خیار,NOUN,xiːyær,,,,,
سبزیجات,پیاز,NOUN,piːyæz,,,,,
سبزیجات,کاهو,NOUN,kæhuː,,,,,
سبزیجات,هویج,NOUN,hæviːj,,,,,
سبزیجات,اسفناج,NOUN,esfenæj,,,,,
سبزیجات,شلغم,NOUN,sælqæm,,,,,
سبزیجات,قارچ,NOUN,qærc,,,,,
سبزیجات,چغندر,NOUN,coqondær,,,,,
سبزیجات,سیر,NOUN,seyr,,,,,
سبزیجات,فلفل,NOUN,felfel,,,,,
سبزیجات,ذرت,NOUN,zorræt,,,,,
سبزیجات,کرفس,NOUN,kæræfs,,,,,
سبزیجات,کلم,NOUN,kælæm,,,,,
سبزیجات,بامیه,NOUN,bæmiːye,,,,,
سبزیجات,کدو,NOUN,kæduː,,,,,
سبزیجات,بادمجان,NOUN,bædemjæn,,,,,
افعال حسی,دیدن,VERB,diːdn,,,,,
افعال حسی,شنیدن,VERB,ʃniːdn,,,,,
افعال حسی,بوییدن,VERB,buːiːiːdn,,,,,
افعال حسی,چشیدن,VERB,tʃʃiːdn,,,,,
افعال حسی,لرزیدن,VERB,lɾziːdn,,,,,
افعال حسی,لمسیدن,VERB,lmsiːdn,,,,,
افعال حرکت,رفتن,VERB,ɾftn,,,,,
افعال حرکت,آمدن,VERB,ɒːmdn,,,,,
افعال حرکت,دویدن,VERB,duːiːdn,,,,,
افعال حرکت,افتادن,VERB,ɒːftɒːdn,,,,,
افعال حرکت,برگشتن,VERB,bɾɡʃtn,,,,,
افعال حرکت,لغزیدن,VERB,lɣziːdn,,,,,
افعال حرکت,چرخیدن,VERB,tʃɾxiːdn,,,,,
افعال حرکت,نشستن,VERB,nʃstn,,,,,
افعال حرکت,پریدن,VERB,pɾiːdn,,,,,
افعال حرکت,کشیدن,VERB,kʃiːdn,,,,,
افعال وجود,بودن,VERB,buːdn,,,,,
افعال وجود,داشتن,VERB,dɒːʃtn,,,,,
افعال وجود,ماندن,VERB,mɒːndn,,,,,
افعال وجود,زیستن,VERB,ziːstn,,,,,
افعال وجود,مردن,VERB,mɾdn,,,,,
افعال فعالیت,خواندن,VERB,xuːɒːndn,,,,,
افعال فعالیت,نوشتن,VERB,nuːʃtn,,,,,
افعال فعالیت,پرسیدن,VERB,pɾsiːdn,,,,,
افعال فعالیت,ساختن,VERB,sɒːxtn,,,,,
افعال فعالیت,پختن,VERB,pxtn,,,,,
حمل‌ونقل,ماشین,NOUN,mæsiːn,,,,,
حمل‌ونقل,اتوبوس,NOUN,otobuːs,,,,,
حمل‌ونقل,قطار,NOUN,qætær,,,,,
حمل‌ونقل,هواپیما,NOUN,hævæpeymæ,,,,,
حمل‌ونقل,دوچرخه,NOUN,docærxe,,,,,
حمل‌ونقل,تراموا,NOUN,teræmvæ,,,,,
حمل‌ونقل,تاکسی,NOUN,tæksiː,,,,,
حمل‌ونقل,مترو,NOUN,metro,,,,,
حمل‌ونقل,کشتی,NOUN,kestiː,,,,,
حمل‌ونقل,خودرو,NOUN,xodrow,,,,,
حمل‌ونقل,موتور,NOUN,motor,,,,,
حمل‌ونقل,جت,NOUN,jet,,,,,
حمل‌ونقل,هلیکوپتر,NOUN,heliːkopter,,,,,
