task,ALLaM-7B-Instruct-preview,EuroLLM-1.7B-Instruct,gemma-3-1b,gemma-3-4b,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,salamandra-2b-instruct,SmolLM2-1.7B-Instruct,SmolLM2-360M-Instruct,ZharfaOpen-0309
sentence_containing,93.93,87.63,94.13,98.07,95.27,93.43,83.3,85.97,74.9,86.6,71.0,84.53
sentence_not_containing,96.2,49.7,99.27,99.53,99.33,99.47,73.73,91.13,44.67,83.43,41.47,89.7
word_containing,85.9,21.79,98.72,100.0,97.44,93.59,98.72,97.44,94.87,82.05,64.1,83.33
word_not_containing,89.74,44.87,69.23,97.44,96.15,96.15,82.05,94.87,75.64,53.85,28.21,5.13
most_associated_word,96.7,73.73,86.97,99.7,74.33,72.23,35.7,35.8,1.4,33.87,10.53,47.9
least_associated_word,98.53,16.3,63.87,99.67,94.07,67.6,28.3,35.27,0.33,21.5,4.67,57.53
any_words_from_category,59.63,67.37,54.53,66.13,30.2,54.23,55.23,22.0,21.17,19.23,17.17,55.7
all_words_from_category,63.17,51.83,61.33,68.8,22.77,70.4,67.37,35.67,19.23,18.9,18.23,61.87
first_alphabetically,62.57,49.43,43.8,63.8,96.97,48.77,36.17,49.8,8.0,43.97,20.7,67.6
more_letters,80.57,53.23,7.07,46.03,86.97,66.43,47.57,60.47,13.27,27.93,20.73,48.1
less_letters,70.57,48.73,9.87,36.33,95.13,61.03,47.83,61.7,9.6,20.93,15.67,47.03
bigger_number,99.57,44.03,80.9,99.5,80.07,91.63,86.0,85.83,13.3,79.73,44.7,82.63
smaller_number,98.9,50.57,65.83,71.63,92.97,70.97,50.53,89.27,20.0,56.47,45.7,90.5
rhyming_word,67.9,19.6,6.53,47.23,12.93,18.2,8.43,12.57,3.07,17.6,9.8,35.4
homophones,56.46,20.79,5.83,38.21,31.71,38.12,27.21,19.33,1.17,32.54,28.67,31.67
word_after,80.4,17.2,43.37,75.7,94.2,47.97,21.07,22.07,7.77,12.2,2.5,42.5
word_before,28.0,4.57,12.77,35.8,57.6,21.5,8.1,9.37,2.6,1.67,1.1,8.67
starts_with_word,92.6,79.27,97.5,98.57,48.37,78.73,43.37,47.9,15.57,15.13,53.1,63.27
ends_with_word,32.83,3.87,41.27,77.77,91.1,84.87,7.6,34.87,10.5,11.9,5.43,4.93
starts_with_letter,100.0,67.95,100.0,100.0,97.44,100.0,97.44,97.44,84.62,88.46,83.33,12.82
ends_with_letter,66.67,1.45,33.33,92.75,97.1,91.3,17.39,50.72,5.8,23.19,0.0,2.9
first_word,93.37,83.4,81.3,100.0,81.7,82.13,84.8,39.63,5.83,29.13,11.0,92.73
last_word,89.83,50.43,48.43,91.87,70.0,84.33,61.17,29.93,6.97,22.6,9.87,58.8
first_letter,99.43,97.23,94.77,100.0,74.4,99.07,51.97,57.67,40.13,39.37,35.6,97.83
last_letter,72.27,50.43,37.33,93.67,98.43,96.97,27.57,43.4,14.47,26.47,8.33,59.9
first_alphabetically_far_first_letter,64.13,49.27,44.7,70.1,98.37,48.1,40.87,58.03,7.97,39.1,19.1,72.1
first_alphabetically_different_first_letter,59.9,49.77,41.97,62.93,97.63,48.77,38.0,53.93,7.7,41.57,22.1,68.6
first_alphabetically_consecutive_first_letter,55.37,49.93,42.47,55.37,96.3,48.37,35.73,47.23,8.5,40.53,22.23,66.5
first_alphabetically_same_first_letter,53.47,48.93,42.23,54.73,79.37,37.57,32.1,42.47,8.97,39.03,19.1,52.27
any_words_from_category_5_distractors,100.0,58.9,72.93,100.0,34.27,99.97,100.0,36.0,31.57,37.6,25.17,99.83
any_words_from_category_4_distractors,19.9,77.77,41.8,33.3,26.13,7.93,10.97,9.1,11.77,3.3,12.6,11.23
any_words_from_category_3_distractors,56.47,91.13,66.6,76.93,34.3,26.47,39.07,19.27,24.2,16.83,14.5,59.53
all_words_from_category_0_distractors,100.0,100.0,71.07,100.0,31.33,58.2,89.3,47.97,30.77,34.27,15.83,96.27
all_words_from_category_1_distractors,21.73,0.0,49.43,33.57,13.33,82.4,42.43,25.07,8.73,2.63,21.63,23.63
all_words_from_category_2_distractors,71.13,0.3,64.17,69.9,27.33,97.9,74.6,35.13,14.47,10.3,23.9,60.87
rhyming_word_orthographically_similar,68.53,20.0,6.37,50.33,13.8,20.9,8.67,14.37,3.33,17.5,8.3,36.8
rhyming_word_orthographically_different,53.33,19.3,5.4,38.2,8.37,16.5,7.27,10.1,2.47,16.43,8.07,28.53
more_letters_length_diff_3plus,95.63,57.43,6.17,51.6,83.47,65.6,50.97,68.53,13.53,31.87,18.7,56.7
more_letters_length_diff_1,77.63,52.67,8.5,37.7,69.43,56.6,40.0,57.2,9.37,22.77,16.7,42.4
less_letters_length_diff_3plus,84.63,44.7,9.07,35.1,97.27,55.33,49.4,67.43,7.67,21.2,15.03,49.67
less_letters_length_diff_1,63.73,46.13,10.73,28.6,90.23,58.2,50.9,60.47,8.53,20.7,16.83,46.7
