task,ALLaM-7B-Instruct-preview,ALLaM-7B-Instruct-preview,ALLaM-7B-Instruct-preview,EuroLLM-1.7B-Instruct,EuroLLM-1.7B-Instruct,EuroLLM-1.7B-Instruct,gemma-3-1b,gemma-3-1b,gemma-3-1b,gemma-3-4b,gemma-3-4b,gemma-3-4b,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,salamandra-2b-instruct,salamandra-2b-instruct,salamandra-2b-instruct,SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,ZharfaOpen-0309,ZharfaOpen-0309,ZharfaOpen-0309
,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2
sentence_containing,93.6,93.7,94.5,88.3,85.4,89.2,94.2,93.3,94.9,98.0,98.0,98.2,95.7,94.2,95.9,93.7,93.5,93.1,84.6,83.9,81.4,85.6,87.2,85.1,76.0,75.2,73.5,87.1,85.4,87.3,79.6,61.0,72.4,85.0,84.5,84.1
sentence_not_containing,94.9,97.3,96.4,48.8,50.9,49.4,99.0,99.4,99.4,99.9,98.9,99.8,99.1,99.5,99.4,99.4,99.4,99.6,70.9,72.6,77.7,93.4,89.1,90.9,39.0,46.3,48.7,83.5,83.2,83.6,42.0,30.6,51.8,86.8,86.9,95.4
word_containing,96.2,65.4,96.2,15.4,38.5,11.5,96.2,100.0,100.0,100.0,100.0,100.0,100.0,92.3,100.0,84.6,96.2,100.0,100.0,96.2,100.0,100.0,92.3,100.0,100.0,88.5,96.2,84.6,92.3,69.2,73.1,61.5,57.7,80.8,84.6,84.6
word_not_containing,92.3,88.5,88.5,92.3,0.0,42.3,100.0,19.2,88.5,92.3,100.0,100.0,100.0,96.2,92.3,100.0,92.3,96.2,84.6,73.1,88.5,96.2,96.2,92.3,80.8,57.7,88.5,73.1,23.1,65.4,84.6,0.0,0.0,15.4,0.0,0.0
most_associated_word,93.8,96.5,99.8,85.6,46.7,88.9,91.8,81.3,87.8,99.1,100.0,100.0,92.4,41.6,89.0,57.3,67.4,92.0,5.8,3.3,98.0,23.7,11.8,71.9,0.3,0.0,3.9,40.5,30.4,30.7,25.1,0.0,6.5,93.3,0.0,50.4
least_associated_word,96.2,99.7,99.7,18.1,14.7,16.1,33.0,67.6,91.0,99.2,99.8,100.0,99.4,84.5,98.3,33.2,74.0,95.6,6.6,2.2,76.1,41.5,8.2,56.1,0.3,0.7,0.0,9.3,29.6,25.6,4.4,3.5,6.1,89.3,0.0,83.3
any_words_from_category,50.0,55.8,73.1,65.4,65.2,71.5,35.0,69.6,59.0,51.1,73.5,73.8,26.5,30.6,33.5,49.7,53.6,59.4,50.4,52.0,63.3,17.1,17.8,31.1,20.8,22.0,20.7,18.3,18.6,20.8,18.7,17.0,15.8,55.2,54.9,57.0
all_words_from_category,63.8,58.8,66.9,51.9,51.8,51.8,58.8,52.0,73.2,62.6,54.8,89.0,19.5,20.2,28.6,80.7,82.3,48.2,73.9,56.1,72.1,32.1,34.6,40.3,16.1,17.1,24.5,22.5,16.4,17.8,20.4,17.5,16.8,57.3,52.9,75.4
first_alphabetically,64.4,59.0,64.3,49.6,48.9,49.8,47.3,37.8,46.3,66.0,71.7,53.7,99.6,99.9,91.4,43.2,58.2,44.9,34.8,40.6,33.1,61.8,49.2,38.4,3.5,15.8,4.7,52.9,46.5,32.5,19.2,21.1,21.8,70.7,67.5,64.6
more_letters,85.1,83.9,72.7,54.1,51.9,53.7,1.6,18.1,1.5,64.4,32.5,41.2,88.1,86.1,86.7,57.2,76.6,65.5,37.2,44.0,61.5,67.6,55.5,58.3,11.0,24.9,3.9,28.4,29.3,26.1,26.7,23.9,11.6,67.2,15.2,61.9
less_letters,76.4,73.1,62.2,47.7,50.7,47.8,14.7,4.8,10.1,39.9,23.4,45.7,96.2,92.1,97.1,50.3,76.9,55.9,45.2,46.2,52.1,63.0,56.8,65.3,10.4,13.2,5.2,21.8,20.3,20.7,18.6,21.7,6.7,58.2,36.8,46.1
