,first_alphabetically,first_alphabetically,more_letters,more_letters,less_letters,less_letters,bigger_number,bigger_number,smaller_number,smaller_number,rhyming_word,rhyming_word,homophones,homophones
,acc ans is w1,acc when ans is w2,acc ans is w1,acc when ans is w2,acc ans is w1,acc when ans is w2,acc ans is w1,acc when ans is w2,acc ans is w1,acc when ans is w2,acc ans is w1,acc when ans is w2,acc ans is w1,acc when ans is w2
ALLaM-7B-Instruct-preview,68.5,56.7,72.0,89.4,84.5,57.2,99.4,99.7,99.2,98.6,67.5,68.3,57.8,55.1
EuroLLM-1_7B-Instruct,87.7,11.9,72.2,33.5,71.4,26.9,31.5,56.5,31.3,69.8,27.9,11.2,34.8,6.8
gemma-3-1b,55.1,32.7,8.9,5.2,13.4,6.5,73.3,88.5,53.1,78.5,2.4,10.7,6.9,4.8
gemma-3-4b,95.4,32.8,48.6,43.4,37.3,35.4,99.0,100.0,70.2,73.1,62.0,32.4,45.0,31.4
Llama-3_1-8B-Instruct,96.7,97.2,77.8,96.5,98.3,92.1,72.1,88.1,89.1,96.8,11.6,14.3,33.2,30.2
Llama-3_2-3B-Instruct,47.5,50.0,64.9,68.0,56.5,65.4,83.3,99.9,44.7,97.2,24.0,12.4,41.2,35.0
Qwen2_5-1_5B-Instruct,36.2,36.1,34.6,61.0,34.1,61.0,75.9,96.1,29.0,72.1,8.4,8.4,28.3,26.1
Qwen2_5-3B-Instruct,42.5,57.0,49.8,71.5,52.2,70.9,86.3,85.3,88.2,90.3,13.8,11.4,23.1,15.6
salamandra-2b-instruct,9.1,6.9,18.1,8.2,13.0,6.3,0.7,25.9,24.9,15.1,3.2,3.0,2.0,0.3
SmolLM2-1_7B-Instruct,46.1,41.9,34.9,20.7,31.8,10.4,71.2,88.3,47.7,65.2,21.0,14.2,45.6,19.5
SmolLM2-360M-Instruct,23.0,18.4,18.2,23.4,14.8,16.5,31.2,58.2,42.5,48.9,11.3,8.2,35.1,22.2
ZharfaOpen-0309,67.7,67.5,51.1,44.9,34.8,58.8,65.8,99.5,84.1,96.9,37.7,33.1,37.9,25.4
