,mean,argument_order,argument_content,template,adjacent_tasks
ALLaM-7B-Instruct-preview,82.3,91.3,62.8,91.4,83.7
EuroLLM-1.7B-Instruct,72.4,61.8,76.6,79.3,71.9
gemma-3-1b,84.0,88.0,89.9,81.5,76.7
gemma-3-4b,82.1,83.3,69.8,84.1,91.2
Llama-3.1-8B-Instruct,86.9,92.2,88.1,83.0,84.4
Llama-3.2-3B-Instruct,83.5,85.5,73.5,84.6,90.5
Qwen2.5-1.5B-Instruct,77.1,83.0,73.6,76.0,75.7
Qwen2.5-3B-Instruct,86.4,90.3,85.3,83.9,86.2
salamandra-2b-instruct,88.2,92.1,91.8,89.2,79.7
SmolLM2-1.7B-Instruct,84.8,84.7,86.8,85.9,82.0
SmolLM2-360M-Instruct,87.9,91.3,95.4,83.8,81.1
ZharfaOpen-0309,75.4,86.6,65.6,74.6,74.9
