task,ALLaM-7B-Instruct-preview,EuroLLM-1.7B-Instruct,gemma-3-1b,gemma-3-4b,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,salamandra-2b-instruct,SmolLM2-1.7B-Instruct,SmolLM2-360M-Instruct,ZharfaOpen-0309
sentence_containing,77.67,29.35,79.45,90.55,87.65,88.66,87.01,82.05,2.06,62.85,100.0,77.33
sentence_not_containing,68.62,85.05,85.73,98.82,91.53,85.86,44.4,58.54,26.21,54.79,61.4,85.16
word_containing,3.03,0.0,81.82,96.97,16.16,92.93,82.83,90.91,0.0,2.02,0.0,56.57
word_not_containing,0.0,0.0,71.72,98.99,0.0,41.41,74.75,78.79,0.0,0.0,0.0,5.05
most_associated_word,0.33,0.0,33.0,52.57,27.4,40.4,17.6,49.17,0.0,1.23,0.0,10.2
least_associated_word,0.03,0.0,22.07,65.8,5.7,36.67,11.43,42.73,0.0,1.2,0.0,2.07
any_words_from_category,0.9,0.0,49.03,47.63,29.13,48.47,48.03,47.43,0.4,52.07,3.07,53.17
all_words_from_category,54.07,0.33,53.4,62.97,42.93,52.27,55.27,51.93,1.73,49.23,3.5,54.9
first_alphabetically,0.0,0.1,43.87,34.3,4.0,29.23,22.23,48.73,3.67,11.13,0.03,32.07
more_letters,0.0,0.2,39.5,65.6,0.0,33.7,4.73,41.43,4.0,0.77,0.67,0.93
less_letters,0.0,0.17,43.43,66.47,0.67,43.3,14.53,39.2,2.27,0.9,0.6,1.7
bigger_number,0.0,0.0,81.63,95.37,0.0,23.17,0.0,2.8,6.97,22.97,0.0,32.73
smaller_number,0.0,0.0,55.6,89.6,0.33,30.3,0.03,31.57,15.1,28.9,0.03,24.13
rhyming_word,0.0,0.1,44.27,55.8,0.0,40.3,4.83,39.2,4.43,0.13,0.77,11.93
homophones,0.0,0.54,37.1,21.37,1.68,11.83,3.63,24.53,0.4,0.0,0.0,1.28
word_after,0.03,0.0,15.23,50.67,6.83,26.47,0.0,21.8,0.0,0.0,0.0,2.27
word_before,0.0,0.0,6.57,26.67,3.1,14.13,0.0,12.83,0.0,0.0,0.0,0.17
starts_with_word,0.0,6.88,77.25,95.24,80.42,86.77,91.01,85.19,0.0,47.62,0.0,81.48
ends_with_word,0.07,1.73,6.58,22.51,13.8,2.83,4.67,18.72,0.35,4.1,10.51,1.24
starts_with_letter,3.03,2.02,82.83,93.94,39.39,95.96,79.8,88.89,3.03,3.03,1.01,58.59
ends_with_letter,0.0,0.0,23.23,31.31,0.0,12.12,2.02,19.19,0.0,2.02,0.0,1.01
first_word,0.0,0.03,36.93,84.23,15.53,70.47,19.83,59.27,0.0,0.3,0.0,25.0
last_word,0.13,0.17,10.53,35.67,8.67,20.47,0.8,22.7,0.0,0.37,0.1,9.1
first_letter,0.0,0.0,42.68,84.99,8.91,59.82,17.61,71.69,0.0,0.0,0.0,27.77
last_letter,0.0,0.0,23.72,69.2,7.83,47.27,0.44,1.08,0.0,0.0,0.0,12.69
first_alphabetically_far_first_letter,0.0,0.0,48.1,32.07,4.8,26.57,23.13,49.37,2.07,8.83,0.0,30.4
first_alphabetically_different_first_letter,0.0,0.1,48.57,35.07,4.73,29.07,22.33,47.7,3.1,10.43,0.1,33.47
first_alphabetically_consecutive_first_letter,0.03,0.0,48.53,34.43,5.37,27.8,21.4,47.87,2.17,8.83,0.0,28.63
first_alphabetically_same_first_letter,0.0,0.13,47.03,36.67,6.77,25.17,23.27,48.13,2.7,9.47,0.0,37.33
any_words_from_category_5_distractors,0.0,0.0,98.37,92.73,45.07,98.23,99.83,96.17,0.0,0.0,0.0,31.33
any_words_from_category_4_distractors,1.47,0.27,3.33,22.17,15.33,4.17,0.83,2.67,0.43,99.87,4.93,73.77
any_words_from_category_3_distractors,2.97,0.6,6.47,51.47,19.3,8.6,1.37,2.2,0.43,99.93,7.1,80.07
all_words_from_category_0_distractors,32.47,0.2,10.9,73.13,23.0,7.77,43.17,6.03,3.47,99.23,7.4,89.53
all_words_from_category_1_distractors,73.03,0.0,90.77,42.57,59.4,98.7,80.13,99.1,0.0,0.0,0.0,20.43
all_words_from_category_2_distractors,82.87,0.0,94.5,71.17,75.67,99.77,85.43,100.0,0.0,0.0,0.0,32.0
rhyming_word_orthographically_similar,0.0,0.17,42.4,59.27,0.0,37.2,5.5,37.83,3.93,0.1,0.7,10.87
more_letters_length_diff_3plus,0.0,0.43,40.13,69.07,0.1,35.1,3.0,48.63,3.4,0.37,0.1,1.37
more_letters_length_diff_1,0.0,0.5,36.8,52.27,0.0,32.3,3.53,42.1,4.7,0.5,0.5,1.0
less_letters_length_diff_3plus,0.0,0.1,34.5,73.53,1.3,51.43,9.67,48.1,3.37,0.8,1.0,1.63
less_letters_length_diff_1,0.0,0.2,44.87,61.1,0.47,40.2,12.87,35.47,2.5,0.87,0.47,1.17
