task,EuroLLM-1.7B-Instruct,EuroLLM-1.7B-Instruct,EuroLLM-1.7B-Instruct,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,ZharfaOpen-0309,ZharfaOpen-0309,ZharfaOpen-0309,gemma-3-1b,gemma-3-1b,gemma-3-1b,gemma-3-4b,gemma-3-4b,gemma-3-4b,salamandra-2b-instruct,salamandra-2b-instruct,salamandra-2b-instruct
,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2
sentence_containing,13.0,52.2,22.9,88.9,89.0,85.1,89.0,89.9,87.1,85.4,87.6,88.1,80.7,84.9,80.6,72.1,58.0,58.5,100.0,100.0,100.0,76.8,78.0,77.1,80.1,85.3,73.0,91.1,91.3,89.3,1.5,3.6,1.0
sentence_not_containing,88.6,93.7,72.9,90.6,93.0,91.0,85.1,92.6,79.9,40.0,56.5,36.7,34.7,73.7,67.2,28.6,77.9,57.8,87.9,87.7,8.7,80.6,90.0,84.9,80.9,92.6,83.7,98.3,98.7,99.5,26.7,24.9,27.0
word_containing,0.0,0.0,0.0,12.1,30.3,6.1,93.9,93.9,90.9,87.9,84.8,75.8,87.9,90.9,93.9,6.1,0.0,0.0,0.0,0.0,0.0,60.6,60.6,48.5,81.8,87.9,75.8,97.0,97.0,97.0,0.0,0.0,0.0
word_not_containing,0.0,0.0,0.0,0.0,0.0,0.0,63.6,36.4,24.2,51.5,90.9,81.8,60.6,90.9,84.8,0.0,0.0,0.0,0.0,0.0,0.0,12.1,3.0,0.0,45.5,97.0,72.7,100.0,97.0,100.0,0.0,0.0,0.0
most_associated_word,0.0,0.0,0.0,60.1,1.7,20.4,51.6,24.0,45.6,19.9,0.0,32.9,44.9,43.5,59.1,1.4,2.2,0.1,0.0,0.0,0.0,1.4,0.3,28.9,34.6,32.4,32.0,53.0,36.2,68.5,0.0,0.0,0.0
least_associated_word,0.0,0.0,0.0,0.0,0.0,17.1,34.3,29.7,46.0,0.6,0.3,33.4,33.3,25.1,69.8,1.1,2.4,0.1,0.0,0.0,0.0,0.1,0.1,6.0,20.0,19.9,26.3,60.7,56.7,80.0,0.0,0.0,0.0
any_words_from_category,0.0,0.0,0.0,35.5,35.9,16.0,48.2,49.3,47.9,48.3,47.9,47.9,47.9,47.9,46.5,52.1,52.1,52.0,0.8,5.0,3.4,53.0,53.8,52.7,49.0,49.8,48.3,49.9,56.7,36.3,0.7,0.5,0.0
all_words_from_category,0.5,0.5,0.0,43.4,47.2,38.2,54.8,51.4,50.6,58.2,56.9,50.7,52.6,52.0,51.2,49.2,49.2,49.3,2.8,7.6,0.1,51.8,54.3,58.6,55.0,53.0,52.2,66.0,58.7,64.2,2.7,2.5,0.0
first_alphabetically,0.1,0.1,0.1,0.1,11.9,0.0,21.5,30.7,35.5,3.7,46.3,16.7,48.0,47.7,50.5,0.1,29.1,4.2,0.0,0.1,0.0,44.6,34.9,16.7,42.2,47.0,42.4,51.3,51.1,0.5,0.0,11.0,0.0
