,first_alphabetically,first_alphabetically,more_letters,more_letters,less_letters,less_letters,bigger_number,bigger_number,smaller_number,smaller_number,rhyming_word,rhyming_word,homophones,homophones
,acc ans is w1,acc when ans is w2,acc ans is w1,acc when ans is w2,acc ans is w1,acc when ans is w2,acc ans is w1,acc when ans is w2,acc ans is w1,acc when ans is w2,acc ans is w1,acc when ans is w2,acc ans is w1,acc when ans is w2
ALLaM-7B-Instruct-preview,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EuroLLM-1_7B-Instruct,0,0.2,0.1,0.3,0.1,0.2,0,0,0,0,0,0.2,1.1,0
gemma-3-1b,31.0,57.2,28.6,51.3,55.7,32.0,65.7,97.6,25.1,86.1,58.8,27.7,34.0,40.2
gemma-3-4b,32.1,36.5,69.1,61.8,87.8,46.7,90.7,100.0,85.7,93.5,48.4,64.2,34.5,8.2
Llama-3_1-8B-Instruct,0.8,7.3,0,0,0.3,1.0,0,0,0.5,0.1,0,0,0,3.4
Llama-3_2-3B-Instruct,36.8,21.5,35.4,31.9,50.7,36.5,15.8,30.5,25.3,35.3,45.9,33.9,12.4,11.3
Qwen2_5-1_5B-Instruct,19.4,25.2,5.8,3.5,10.0,18.8,0,0,0,0.1,7.4,1.9,5.2,2.0
Qwen2_5-3B-Instruct,37.3,60.6,35.0,48.4,31.3,46.5,4.7,0.9,32.5,30.7,55.8,20.3,32.8,16.3
salamandra-2b-instruct,5.1,2.2,5.3,2.6,4.0,0.6,1.9,12.1,10.6,19.6,6.8,1.8,0.8,0
SmolLM2-1_7B-Instruct,18.8,3.2,0.1,1.5,0.6,1.2,33.5,12.4,53.2,4.6,0.2,0.1,0,0
SmolLM2-360M-Instruct,0.1,0,0.7,0.6,0.3,0.9,0,0,0,0.1,1.3,0.1,0,0
ZharfaOpen-0309,19.5,45.0,0.3,1.6,0.4,2.9,19.6,45.9,19.1,29.1,10.3,13.8,0.5,2.0
